replicate,model,auc
0,Logistic,0.8131976532890297
0,Random Forest,0.7893913434747244
0,XGBoost,0.807817178062752
1,Logistic,0.7942641439948441
1,Random Forest,0.7888173824978134
1,XGBoost,0.798781015513511
2,Logistic,0.8011410719059074
2,Random Forest,0.7936397353648758
2,XGBoost,0.8028084068430902
3,Logistic,0.8182855367606887
3,Random Forest,0.8103741952071304
3,XGBoost,0.8208833706492976
4,Logistic,0.8166935690155505
4,Random Forest,0.8022474486870772
4,XGBoost,0.8124050699902092
5,Logistic,0.80871824739035
5,Random Forest,0.79047712916088
5,XGBoost,0.8091555037856727
6,Logistic,0.7921023765996343
6,Random Forest,0.7735709932967703
6,XGBoost,0.7854707495429616
7,Logistic,0.8026843032939313
7,Random Forest,0.7859462169111109
7,XGBoost,0.7981792015006226
8,Logistic,0.81143325347621
8,Random Forest,0.7963314226520533
8,XGBoost,0.8104857080000901
9,Logistic,0.8053159157557985
9,Random Forest,0.8043081844841374
9,XGBoost,0.8142450901981695
10,Logistic,0.8169252576332222
10,Random Forest,0.7987530168946098
10,XGBoost,0.8136267861931579
11,Logistic,0.8031211063491361
11,Random Forest,0.7927433393717138
11,XGBoost,0.8008712941280431
12,Logistic,0.7878955093752414
12,Random Forest,0.7781931238244489
12,XGBoost,0.7896534164095497
13,Logistic,0.7993109087245482
13,Random Forest,0.7954907652110488
13,XGBoost,0.8025815111048942
14,Logistic,0.8075455100100739
14,Random Forest,0.7977821604859445
14,XGBoost,0.8143607788608427
15,Logistic,0.8078473546685039
15,Random Forest,0.7902723048873728
15,XGBoost,0.8052646171683989
16,Logistic,0.8009093472437614
16,Random Forest,0.7867880304525589
16,XGBoost,0.8035827576483857
17,Logistic,0.8076363636363637
17,Random Forest,0.791377824487651
17,XGBoost,0.805809774040988
18,Logistic,0.8278357410379882
18,Random Forest,0.8193251738897807
18,XGBoost,0.8292435794542535
19,Logistic,0.7818891537966309
19,Random Forest,0.755806549745665
19,XGBoost,0.7676955620485465
20,Logistic,0.8056102573650517
20,Random Forest,0.7909016369964051
20,XGBoost,0.8025059794050671
21,Logistic,0.8040036890001023
21,Random Forest,0.7860462579457295
21,XGBoost,0.798486716624631
22,Logistic,0.8008360110854333
22,Random Forest,0.7774626879413687
22,XGBoost,0.795713141394518
23,Logistic,0.8156849641207281
23,Random Forest,0.788934648767407
23,XGBoost,0.8091640422030458
24,Logistic,0.8104061349459186
24,Random Forest,0.7954865416531544
24,XGBoost,0.8089887640449438
25,Logistic,0.8137956288647892
25,Random Forest,0.7924450361134561
25,XGBoost,0.8070473551673629
26,Logistic,0.8021499667249736
26,Random Forest,0.78107214680287
26,XGBoost,0.7955222360817656
27,Logistic,0.7933419368176906
27,Random Forest,0.7731538984605792
27,XGBoost,0.7919593493439978
28,Logistic,0.8160219465338152
28,Random Forest,0.8018999706945394
28,XGBoost,0.8121682784669988
29,Logistic,0.8074269005847953
29,Random Forest,0.7960887512899898
29,XGBoost,0.8061558307533541
30,Logistic,0.781380552476767
30,Random Forest,0.7593873447580072
30,XGBoost,0.7719932077187598
31,Logistic,0.8044446441409058
31,Random Forest,0.8015492451473759
31,XGBoost,0.8035334291876347
32,Logistic,0.8100622746640446
32,Random Forest,0.7945806702720419
32,XGBoost,0.8067778324046759
33,Logistic,0.7848335051651976
33,Random Forest,0.7725708550399082
33,XGBoost,0.7801752685015123
34,Logistic,0.797390806596528
34,Random Forest,0.7813179288757499
34,XGBoost,0.7940179114859578
35,Logistic,0.8020941866482665
35,Random Forest,0.7830291530101777
35,XGBoost,0.7977108849404864
36,Logistic,0.8101852827381193
36,Random Forest,0.7939797292807023
36,XGBoost,0.8033743469881627
37,Logistic,0.8005041522222798
37,Random Forest,0.7813276116313964
37,XGBoost,0.7926912479950328
38,Logistic,0.7973558448091554
38,Random Forest,0.7875668112934666
38,XGBoost,0.7922703263535181
39,Logistic,0.8010277714780528
39,Random Forest,0.7867743575998736
39,XGBoost,0.7925162704712423
40,Logistic,0.8123902701732341
40,Random Forest,0.7961834664751819
40,XGBoost,0.8083816533524818
41,Logistic,0.8153887851010075
41,Random Forest,0.7977281746992033
41,XGBoost,0.8070771504257455
42,Logistic,0.8143579826618922
42,Random Forest,0.792170645804075
42,XGBoost,0.8128414496952228
43,Logistic,0.7821773446038487
43,Random Forest,0.7735411507546727
43,XGBoost,0.7827826044851486
44,Logistic,0.8171317421164888
44,Random Forest,0.8060867433941208
44,XGBoost,0.8114284621655776
45,Logistic,0.8199785271754436
45,Random Forest,0.8091013094902845
45,XGBoost,0.8218741199662067
46,Logistic,0.8032315780347276
46,Random Forest,0.7887777541320848
46,XGBoost,0.801863280603438
47,Logistic,0.7919094794094793
47,Random Forest,0.7900187775187776
47,XGBoost,0.7947050634550634
48,Logistic,0.8057311465913617
48,Random Forest,0.7959831287788277
48,XGBoost,0.8006607291553527
49,Logistic,0.8186236445824899
49,Random Forest,0.7985887711805653
49,XGBoost,0.8114063063312904
50,Logistic,0.7968340333886244
50,Random Forest,0.7912324763229708
50,XGBoost,0.798425878859222
51,Logistic,0.7974430040857412
51,Random Forest,0.7731330190097059
51,XGBoost,0.7871587497422383
52,Logistic,0.8242073153059155
52,Random Forest,0.8052524418166536
52,XGBoost,0.8207692084746254
53,Logistic,0.8275366064706081
53,Random Forest,0.8117047059308288
53,XGBoost,0.822408516599803
54,Logistic,0.8075295014584991
54,Random Forest,0.7960852559002918
54,XGBoost,0.8095249933704587
55,Logistic,0.8323533809292416
55,Random Forest,0.8121836803349157
55,XGBoost,0.8291649534631631
56,Logistic,0.7953138166014595
56,Random Forest,0.783892927195108
56,XGBoost,0.7997122488295905
57,Logistic,0.8240599631455751
57,Random Forest,0.8142985208426715
57,XGBoost,0.8223550309610372
58,Logistic,0.8430690579953068
58,Random Forest,0.8328863560174322
58,XGBoost,0.8424149892871198
59,Logistic,0.800285974591284
59,Random Forest,0.7877192260970796
59,XGBoost,0.7930258895581312
60,Logistic,0.7745544092203192
60,Random Forest,0.7623607385775882
60,XGBoost,0.7717348517443723
61,Logistic,0.8207740875725067
61,Random Forest,0.8034478038430608
61,XGBoost,0.8160566706021251
62,Logistic,0.8113855471216873
62,Random Forest,0.7940598666636345
62,XGBoost,0.8102187227208877
63,Logistic,0.8099439438750946
63,Random Forest,0.7942808996492194
63,XGBoost,0.8100471146571291
64,Logistic,0.8098489478739195
64,Random Forest,0.784915742600192
64,XGBoost,0.7975709421112372
65,Logistic,0.8019542404340376
65,Random Forest,0.7789691604797258
65,XGBoost,0.7949189748715021
66,Logistic,0.8445781345288523
66,Random Forest,0.8233109722931878
66,XGBoost,0.8377626872805788
67,Logistic,0.8213574956420686
67,Random Forest,0.815879212667054
67,XGBoost,0.8233784863451481
68,Logistic,0.805520858443086
68,Random Forest,0.7975843505065778
68,XGBoost,0.8077688660983644
69,Logistic,0.8171536170958136
69,Random Forest,0.7976668418286915
69,XGBoost,0.8159485023646874
70,Logistic,0.8001122784505573
70,Random Forest,0.7948547954482672
70,XGBoost,0.8012279341656197
71,Logistic,0.7958898840053659
71,Random Forest,0.7791811331176517
71,XGBoost,0.7930837212972461
72,Logistic,0.8212172958468014
72,Random Forest,0.8005652510247382
72,XGBoost,0.808410075013722
73,Logistic,0.824239151861089
73,Random Forest,0.8064364624311144
73,XGBoost,0.8178986792824757
74,Logistic,0.8218217397674077
74,Random Forest,0.8072271715698928
74,XGBoost,0.822167070133458
75,Logistic,0.815589691777898
75,Random Forest,0.7884441614252783
75,XGBoost,0.8050381364373738
76,Logistic,0.7663508096440566
76,Random Forest,0.7654640764724021
76,XGBoost,0.7723279245943446
77,Logistic,0.8145489139051848
77,Random Forest,0.8002378309814493
77,XGBoost,0.8132820675439989
78,Logistic,0.815927722163042
78,Random Forest,0.8011300855503873
78,XGBoost,0.813792270691218
79,Logistic,0.7932432760420097
79,Random Forest,0.775358952043799
79,XGBoost,0.786112777340513
80,Logistic,0.8258080531397658
80,Random Forest,0.8123210984044376
80,XGBoost,0.8247877148531124
81,Logistic,0.8095177889599717
81,Random Forest,0.7971830985915493
81,XGBoost,0.8089260879459883
82,Logistic,0.792660924223024
82,Random Forest,0.7855087365330644
82,XGBoost,0.7953672447910604
83,Logistic,0.81892856036059
83,Random Forest,0.8003068044474594
