model,citizenship,position,n,positives,negatives,fpr,fnr,fpr_low,fpr_high,fnr_low,fnr_high
Logistic,Argentina,All,61,10,51,0.058823529411764705,0.5,0.020206272864052077,0.15924873938941972,0.23658959361548731,0.7634104063845126
Logistic,Brazil,All,103,21,82,0.06097560975609756,0.6666666666666666,0.02632356690332186,0.13492226262455276,0.45373075657210293,0.8280546356731631
Logistic,England,All,104,23,81,0.1111111111111111,0.5217391304347826,0.059566890075051324,0.19787285646438213,0.3296242986421849,0.7076313046005427
Logistic,France,All,142,31,111,0.06306306306306306,0.5161290322580645,0.03088026451475212,0.12447807253384349,0.34840118286973176,0.6803001396872117
Logistic,Germany,All,98,13,85,0.047058823529411764,0.8461538461538461,0.018449962264952775,0.11483894743500761,0.5776482949136899,0.9567427368172621
Logistic,Italy,All,80,10,70,0.07142857142857142,1.0,0.030893761510293508,0.1565561312330923,0.7224598312333834,1.0
Logistic,Netherlands,All,121,23,98,0.09183673469387756,0.8695652173913043,0.04906865909068409,0.16539772792601637,0.678721020269818,0.954624234856553
Logistic,Portugal,All,112,12,100,0.02,0.6666666666666666,0.005501852234968185,0.07001316294199365,0.3906175873976139,0.8618821601026385
Logistic,Russia,All,118,7,111,0.0,0.8571428571428571,-3.469446951953614e-18,0.03345129291127953,0.48686549668097007,0.9743210440510253
Logistic,Spain,All,190,27,163,0.024539877300613498,0.8518518518518519,0.009583366662591221,0.06139173786769379,0.6752093665317052,0.9408416814035512
Logistic,Türkiye,All,82,6,76,0.013157894736842105,1.0,0.002326420140567463,0.0708384462949749,0.6096569663469354,0.9999999999999999
Logistic,Brazil,Centre-Forward,33,12,21,0.14285714285714285,0.6666666666666666,0.04980921798213492,0.346364941492295,0.3906175873976139,0.8618821601026385
Logistic,England,Attacking Midfield,25,5,20,0.05,0.6,0.008881219432873136,0.23613589351256675,0.23071993220883708,0.8823817688407467
Logistic,England,Centre-Forward,32,11,21,0.23809523809523808,0.45454545454545453,0.10627856389112261,0.45091581972345923,0.21270957543988045,0.7199122443100118
Logistic,France,Centre-Forward,50,20,30,0.2,0.4,0.09504978102401235,0.37306047381027446,0.21880396741419272,0.613422057684794
Logistic,France,Right Winger,35,7,28,0.0,0.8571428571428571,0.0,0.12064720365810762,0.48686549668097007,0.9743210440510253
Logistic,Germany,Attacking Midfield,28,5,23,0.0,1.0,-1.3877787807814457e-17,0.14312112541726274,0.5655085052479191,1.0000000000000002
Logistic,Germany,Centre-Forward,40,6,34,0.11764705882352941,0.6666666666666666,0.04671370973436122,0.26621174796298774,0.29998832134152864,0.9032306674407831
Logistic,Italy,Centre-Forward,31,7,24,0.20833333333333334,1.0,0.0924468910478809,0.40470844485235474,0.6456611570247934,1.0
Logistic,Netherlands,Attacking Midfield,42,9,33,0.06060606060606061,1.0,0.016780530429070947,0.19606581717798194,0.7008472464490407,1.0
Logistic,Netherlands,Centre-Forward,41,10,31,0.22580645161290322,0.7,0.11394991594498799,0.3981276005869738,0.39677321997956516,0.892210712513788
Logistic,Russia,Centre-Forward,45,6,39,0.0,0.8333333333333334,0.0,0.08966985360023902,0.43649056343635395,0.9699474141282697
Logistic,Spain,Centre-Forward,55,19,36,0.1111111111111111,0.7894736842105263,0.04406568908741834,0.2531512901503632,0.5666528575973392,0.9149246150840843
Random Forest,Argentina,All,61,10,51,0.0392156862745098,0.5,0.010820856268751206,0.13216548986265267,0.23658959361548731,0.7634104063845126
Random Forest,Brazil,All,103,21,82,0.04878048780487805,0.6666666666666666,0.0191307559738843,0.11881634659643125,0.45373075657210293,0.8280546356731631
Random Forest,England,All,104,23,81,0.14814814814814814,0.5217391304347826,0.08682622816663449,0.24133354251190053,0.3296242986421849,0.7076313046005427
Random Forest,France,All,142,31,111,0.04504504504504504,0.5161290322580645,0.01939147410855501,0.10113627890080745,0.34840118286973176,0.6803001396872117
Random Forest,Germany,All,98,13,85,0.047058823529411764,0.6923076923076923,0.018449962264952775,0.11483894743500761,0.4236888781333764,0.8731950283838191
Random Forest,Italy,All,80,10,70,0.014285714285714285,1.0,0.0025261814032348645,0.07658369703926908,0.7224598312333834,1.0
Random Forest,Netherlands,All,121,23,98,0.08163265306122448,0.9565217391304348,0.04194355683633026,0.15288448985578768,0.7900841350594088,0.9922835330378734
Random Forest,Portugal,All,112,12,100,0.01,0.8333333333333334,0.0017673865655472645,0.0544875247609346,0.5519636426153274,0.9530358523851776
Random Forest,Russia,All,118,7,111,0.0,1.0,-3.469446951953614e-18,0.03345129291127953,0.6456611570247934,1.0
Random Forest,Spain,All,190,27,163,0.018404907975460124,0.9629629629629629,0.006278636985349233,0.05270904953887494,0.8171614606584348,0.9934320234669025
Random Forest,Türkiye,All,82,6,76,0.0,1.0,0.0,0.04811526823109757,0.6096569663469354,0.9999999999999999
Random Forest,Brazil,Centre-Forward,33,12,21,0.09523809523809523,0.6666666666666666,0.026518208796947246,0.2891458386074067,0.3906175873976139,0.8618821601026385
Random Forest,England,Attacking Midfield,25,5,20,0.15,0.6,0.05236779195949584,0.36042329588695743,0.23071993220883708,0.8823817688407467
Random Forest,England,Centre-Forward,32,11,21,0.23809523809523808,0.45454545454545453,0.10627856389112261,0.45091581972345923,0.21270957543988045,0.7199122443100118
Random Forest,France,Centre-Forward,50,20,30,0.13333333333333333,0.45,0.05309569424218104,0.2968168394441695,0.25819502085709295,0.6579179916924003
Random Forest,France,Right Winger,35,7,28,0.0,0.7142857142857143,0.0,0.12064720365810762,0.35892909014821267,0.9177828342909844
Random Forest,Germany,Attacking Midfield,28,5,23,0.08695652173913043,0.6,0.02417949540723341,0.2679640429809402,0.23071993220883708,0.8823817688407467
Random Forest,Germany,Centre-Forward,40,6,34,0.029411764705882353,0.6666666666666666,0.00521077192559663,0.1491590221634482,0.29998832134152864,0.9032306674407831
Random Forest,Italy,Centre-Forward,31,7,24,0.041666666666666664,1.0,0.007393265354805126,0.20242226248842232,0.6456611570247934,1.0
Random Forest,Netherlands,Attacking Midfield,42,9,33,0.12121212121212122,1.0,0.04816083267584231,0.2732584325026516,0.7008472464490407,1.0
Random Forest,Netherlands,Centre-Forward,41,10,31,0.06451612903225806,0.9,0.017874407775063147,0.20718988318746434,0.5958436145024278,0.9821242504842788
Random Forest,Russia,Centre-Forward,45,6,39,0.0,1.0,0.0,0.08966985360023902,0.6096569663469354,0.9999999999999999
Random Forest,Spain,Centre-Forward,55,19,36,0.05555555555555555,0.9473684210526315,0.015369663767066846,0.18144974107611211,0.7536078466345479,0.99064824750947
XGBoost,Argentina,All,61,10,51,0.0392156862745098,0.5,0.010820856268751206,0.13216548986265267,0.23658959361548731,0.7634104063845126
XGBoost,Brazil,All,103,21,82,0.06097560975609756,0.5714285714285714,0.02632356690332186,0.13492226262455276,0.3654621629703244,0.7553030051347894
XGBoost,England,All,104,23,81,0.14814814814814814,0.5217391304347826,0.08682622816663449,0.24133354251190053,0.3296242986421849,0.7076313046005427
XGBoost,France,All,142,31,111,0.04504504504504504,0.5161290322580645,0.01939147410855501,0.10113627890080745,0.34840118286973176,0.6803001396872117
XGBoost,Germany,All,98,13,85,0.047058823529411764,0.9230769230769231,0.018449962264952775,0.11483894743500761,0.6668546607175265,0.9862899336203037
