replicate,model,auc
0,TabICL,0.8125192530675113
1,TabICL,0.8131977701569653
2,TabICL,0.8021163483678722
3,TabICL,0.8083090053395333
4,TabICL,0.7887181977858206
5,TabICL,0.8203390856389632
6,TabICL,0.7874766791044776
7,TabICL,0.8282055707455619
8,TabICL,0.809435673138468
9,TabICL,0.8132203360486154
10,TabICL,0.8210571138653331
11,TabICL,0.805552829858069
12,TabICL,0.8390997380359082
13,TabICL,0.803816419860627
14,TabICL,0.8342214951835674
15,TabICL,0.801472639951678
16,TabICL,0.805234143292237
17,TabICL,0.8002777913323528
18,TabICL,0.8078318941488333
19,TabICL,0.8282092458835327
20,TabICL,0.8095648665212541
21,TabICL,0.8237843098442861
22,TabICL,0.7850966648950306
23,TabICL,0.8058986981010239
24,TabICL,0.8092568904475137
25,TabICL,0.8219416119672187
26,TabICL,0.8091361550871772
27,TabICL,0.8104355697398173
28,TabICL,0.7784051265102273
29,TabICL,0.8241669984486333
30,TabICL,0.7950192558085207
31,TabICL,0.7912443533093847
32,TabICL,0.8038459655514121
33,TabICL,0.8289245037422713
34,TabICL,0.7937661534735345
35,TabICL,0.790211172692641
36,TabICL,0.8166465448541447
37,TabICL,0.8181853707058865
38,TabICL,0.8062755888434712
39,TabICL,0.8088601565833473
40,TabICL,0.8191526452396017
41,TabICL,0.8111275528446362
42,TabICL,0.8121722814498934
43,TabICL,0.8028779534553206
44,TabICL,0.8224749627104198
45,TabICL,0.8030182255648943
46,TabICL,0.8359672197490894
47,TabICL,0.8320664160918592
48,TabICL,0.8193086074580122
49,TabICL,0.7738275522223023
50,TabICL,0.813639786697061
51,TabICL,0.8020368667629931
52,TabICL,0.798418022046714
53,TabICL,0.8175296480569377
54,TabICL,0.8134911704747028
55,TabICL,0.8041522801221902
56,TabICL,0.8016024988745197
57,TabICL,0.8247656226894982
58,TabICL,0.8121481031286171
59,TabICL,0.8070856639881882
60,TabICL,0.827449099243151
61,TabICL,0.802298273931568
62,TabICL,0.8178794305370932
63,TabICL,0.825942180920059
64,TabICL,0.809064974559679
65,TabICL,0.8290705860795263
66,TabICL,0.7914680820335066
67,TabICL,0.8070953089513666
68,TabICL,0.8322950653203768
