competition_id,season,games,first,last,valid
ES1,2013,380,2013-08-17,2014-05-18,True
ES1,2014,380,2014-08-23,2015-05-23,True
ES1,2015,380,2015-08-21,2016-05-15,True
ES1,2016,380,2016-08-19,2017-05-21,True
ES1,2017,380,2017-08-18,2018-05-20,True
ES1,2018,380,2018-08-17,2019-05-19,True
ES1,2019,380,2019-08-16,2020-07-19,False
ES1,2020,380,2020-09-12,2021-05-23,True
ES1,2021,380,2021-08-13,2022-05-22,True
ES1,2022,380,2022-08-12,2023-06-04,True
ES1,2023,380,2023-08-11,2024-05-26,True
ES1,2024,380,2024-08-15,2025-05-25,True
ES1,2025,380,2025-08-15,2026-05-24,True
FR1,2013,380,2013-08-09,2014-05-17,True
FR1,2014,380,2014-08-08,2015-05-23,True
FR1,2015,380,2015-08-07,2016-05-14,True
FR1,2016,380,2016-08-12,2017-05-20,True
FR1,2017,380,2017-08-04,2018-05-19,True
FR1,2018,380,2018-08-10,2019-05-24,True
FR1,2019,279,2019-08-09,2020-03-08,False
FR1,2020,380,2020-08-21,2021-05-23,True
FR1,2021,380,2021-08-06,2022-05-21,True
FR1,2022,380,2022-08-05,2023-06-03,True
FR1,2023,306,2023-08-11,2024-05-19,True
FR1,2024,306,2024-08-16,2025-05-17,True
FR1,2025,306,2025-08-15,2026-05-17,True
GB1,2013,380,2013-08-17,2014-05-11,True
GB1,2014,380,2014-08-16,2015-05-24,True
GB1,2015,380,2015-08-08,2016-05-17,True
GB1,2016,380,2016-08-13,2017-05-21,True
GB1,2017,380,2017-08-11,2018-05-13,True
GB1,2018,380,2018-08-10,2019-05-12,True
GB1,2019,380,2019-08-09,2020-07-26,False
GB1,2020,380,2020-09-12,2021-05-23,True
GB1,2021,380,2021-08-13,2022-05-22,True
GB1,2022,380,2022-08-05,2023-05-28,True
GB1,2023,380,2023-08-11,2024-05-19,True
GB1,2024,380,2024-08-16,2025-05-25,True
GB1,2025,380,2025-08-15,2026-05-24,True
IT1,2013,380,2013-08-24,2014-05-18,True
IT1,2014,380,2014-08-30,2015-05-31,True
IT1,2015,380,2015-08-22,2016-05-15,True
IT1,2016,380,2016-08-20,2017-05-28,True
IT1,2017,380,2017-08-19,2018-05-20,True
IT1,2018,380,2018-08-18,2019-05-26,True
IT1,2019,380,2019-08-24,2020-08-02,False
IT1,2020,380,2020-09-19,2021-05-23,True
IT1,2021,380,2021-08-21,2022-05-22,True
IT1,2022,380,2022-08-13,2023-06-04,True
IT1,2023,380,2023-08-19,2024-06-02,True
IT1,2024,380,2024-08-17,2025-05-25,True
IT1,2025,380,2025-08-23,2026-05-24,True
L1,2013,306,2013-08-09,2014-05-10,True
L1,2014,306,2014-08-22,2015-05-23,True
L1,2015,306,2015-08-14,2016-05-14,True
L1,2016,306,2016-08-26,2017-05-20,True
L1,2017,306,2017-08-18,2018-05-12,True
L1,2018,306,2018-08-24,2019-05-18,True
L1,2019,306,2019-08-16,2020-06-27,False
L1,2020,306,2020-09-18,2021-05-22,True
L1,2021,306,2021-08-13,2022-05-14,True
L1,2022,306,2022-08-05,2023-05-27,True
L1,2023,306,2023-08-18,2024-05-18,True
L1,2024,306,2024-08-23,2025-05-17,True
L1,2025,306,2025-08-22,2026-05-16,True
NL1,2013,306,2013-08-02,2014-05-03,True
NL1,2014,306,2014-08-08,2015-05-17,True
NL1,2015,306,2015-08-08,2016-05-08,True
NL1,2016,306,2016-08-05,2017-05-14,True
NL1,2017,306,2017-08-11,2018-05-06,True
NL1,2018,306,2018-08-10,2019-05-15,True
NL1,2019,232,2019-08-02,2020-03-08,False
NL1,2020,306,2020-09-12,2021-05-16,True
NL1,2021,306,2021-08-13,2022-05-15,True
NL1,2022,306,2022-08-05,2023-05-28,True
NL1,2023,306,2023-08-11,2024-05-19,True
NL1,2024,306,2024-08-09,2025-05-18,True
NL1,2025,306,2025-08-08,2026-05-17,True
PO1,2013,240,2013-08-16,2014-05-11,True
PO1,2014,306,2014-08-15,2015-05-23,True
PO1,2015,306,2015-08-14,2016-05-15,True
PO1,2016,306,2016-08-12,2017-05-21,True
PO1,2017,306,2017-08-06,2018-05-13,True
PO1,2018,306,2018-08-10,2019-05-19,True
PO1,2019,306,2019-08-09,2020-07-26,False
PO1,2020,306,2020-09-18,2021-05-19,True
PO1,2021,306,2021-08-06,2022-05-15,True
PO1,2022,306,2022-08-05,2023-05-27,True
PO1,2023,306,2023-08-11,2024-05-18,True
PO1,2024,306,2024-08-09,2025-05-17,True
PO1,2025,306,2025-08-08,2026-05-16,True
RU1,2013,240,2013-07-14,2014-05-15,True
RU1,2014,240,2014-08-01,2015-05-30,True
RU1,2015,240,2015-07-17,2016-05-21,True
RU1,2016,240,2016-07-30,2017-05-21,True
RU1,2017,240,2017-07-15,2018-05-13,True
RU1,2018,240,2018-07-28,2019-05-26,True
RU1,2019,240,2019-07-12,2020-07-22,False
RU1,2020,240,2020-08-08,2021-05-16,True
RU1,2021,240,2021-07-23,2022-05-21,True
RU1,2022,240,2022-07-15,2023-06-03,True
RU1,2023,240,2023-07-21,2024-05-25,True
RU1,2024,240,2024-07-20,2025-05-24,True
RU1,2025,240,2025-07-18,2026-05-17,True
TR1,2013,306,2013-08-16,2014-05-18,True
TR1,2014,306,2014-08-29,2015-05-30,True
TR1,2015,306,2015-08-14,2016-05-19,True
TR1,2016,306,2016-08-19,2017-06-03,True
TR1,2017,306,2017-08-11,2018-05-19,True
TR1,2018,306,2018-08-10,2019-05-26,True
TR1,2019,306,2019-08-16,2020-07-26,False
TR1,2020,420,2020-09-11,2021-05-15,True
TR1,2021,380,2021-08-13,2022-05-22,True
TR1,2022,342,2022-08-05,2023-06-07,True
TR1,2023,380,2023-08-11,2024-05-26,True
TR1,2024,342,2024-08-09,2025-06-01,True
TR1,2025,306,2025-08-08,2026-05-17,True
