model,scope,auc,average_precision,brier,log_loss,n,positive_rate
Logistic,validation,0.770190694126621,0.433004483506873,0.12182202372082201,0.3882550802343135,685,0.1678832116788321
Logistic,test,0.8054659839767033,0.4829390614487008,0.11240384434863025,0.361626500468744,2057,0.1648031113271755
Logistic,2023,0.7964744556366488,0.4859435034309623,0.11665234782915833,0.37365419975073194,680,0.17352941176470588
Logistic,2024,0.8261947507908011,0.5508578056817035,0.11469576349285239,0.36837123638625563,683,0.18448023426061494
Logistic,2025,0.7937966786749846,0.41730709854239867,0.10598545365372707,0.3432036040084959,694,0.13688760806916425
Logistic,unseen_players,0.7862005634114008,0.3571749112405741,0.09993276077678698,0.32967967231495293,1138,0.1282952548330404
Random Forest,validation,0.7583218916857359,0.41919919917719456,0.12432419961740762,0.39523434244627376,685,0.1678832116788321
Random Forest,test,0.7916799736264641,0.46240654125320924,0.11571933030877656,0.3704609987325802,2057,0.1648031113271755
Random Forest,2023,0.7762832498944447,0.44707647554203284,0.12315340651075837,0.39117054871618845,680,0.17352941176470588
Random Forest,2024,0.8279615855917472,0.5317607919325351,0.11665875148455962,0.36904540191641033,683,0.18448023426061494
Random Forest,2025,0.7712151832000702,0.42520893397089293,0.1075106898470943,0.35156238005331575,694,0.13688760806916425
Random Forest,unseen_players,0.7698851082633672,0.34405410144578574,0.10179394198998562,0.3379590433105735,1138,0.1282952548330404
XGBoost,validation,0.7728604118993136,0.44211148748764645,0.12169818580150604,0.3857235610485077,685,0.1678832116788321
XGBoost,test,0.8028286303961868,0.4714930275160042,0.11399056017398834,0.3648897111415863,2057,0.1648031113271755
XGBoost,2023,0.7860848060799808,0.4621974753036042,0.12080591917037964,0.38525739312171936,680,0.17352941176470588
XGBoost,2024,0.8332050953235873,0.539646280012289,0.11512327194213867,0.36520567536354065,683,0.18448023426061494
XGBoost,2025,0.7891222212459363,0.428764729016754,0.10619791597127914,0.3446219563484192,694,0.13688760806916425
XGBoost,unseen_players,0.7802005081749889,0.34559544300576406,0.10114490985870361,0.3338618278503418,1138,0.1282952548330404
