model,seed,auc,average_precision,brier,log_loss,n,positive_rate
Random Forest,11,0.7923925398607834,0.46191944926978035,0.1156265676842685,0.3705337283503425,2057,0.1648031113271755
Random Forest,23,0.7927599836539023,0.4629425967730946,0.11540565377671108,0.3697302867113559,2057,0.1648031113271755
Random Forest,42,0.7916799736264641,0.46240654125320924,0.11571933030877656,0.3704609987325802,2057,0.1648031113271755
Random Forest,67,0.796446440774585,0.46235111335040086,0.1149967800897156,0.36800939352880546,2057,0.1648031113271755
Random Forest,101,0.79291279906319,0.46042155906802074,0.11537343786096489,0.369893578062075,2057,0.1648031113271755
XGBoost,11,0.8036115947404027,0.47316626930975225,0.11376748234033585,0.36404648423194885,2057,0.1648031113271755
XGBoost,23,0.8038348082595871,0.474227492955697,0.11384544521570206,0.36428046226501465,2057,0.1648031113271755
XGBoost,42,0.8028286303961868,0.4714930275160042,0.11399056017398834,0.3648897111415863,2057,0.1648031113271755
XGBoost,67,0.804392842057548,0.4670269785200719,0.11404974013566971,0.3649534285068512,2057,0.1648031113271755
XGBoost,101,0.801238663328766,0.46804974648574726,0.11466692388057709,0.36671683192253113,2057,0.1648031113271755
